ProductName,BasePrice,Department,Category,Subcategory
Organic Whole Wheat Bread,3.99,Grocery,Bakery,Bread & Rolls
Free Range Chicken Breast,8.99,Grocery,Meat & Poultry,Chicken
Almond Milk Unsweetened,4.29,Grocery,Dairy & Alternatives,Plant-Based Milk
Greek Yogurt Vanilla,5.49,Grocery,Dairy & Alternatives,Yogurt
Organic Baby Spinach,3.79,Grocery,Produce,Leafy Greens
Premium Ground Coffee,12.99,Grocery,Beverages,Coffee & Tea
Artisan Pasta Sauce,6.49,Grocery,Pantry,Sauces & Condiments
Wild Caught Salmon Fillet,15.99,Grocery,Seafood,Fish
Organic Bananas,2.49,Grocery,Produce,Fresh Fruit
Extra Virgin Olive Oil,9.99,Grocery,Pantry,Oils & Vinegars
Grass Fed Ground Beef,11.99,Grocery,Meat & Poultry,Beef
Quinoa Ancient Grain,7.99,Grocery,Pantry,Grains & Rice
Organic Tomatoes,4.99,Grocery,Produce,Fresh Vegetables
Free Range Eggs Large,4.79,Grocery,Dairy & Alternatives,Eggs
Coconut Water Natural,3.49,Grocery,Beverages,Water & Hydration
Dark Chocolate Bar,4.99,Grocery,Snacks & Candy,Chocolate
Organic Avocados,5.99,Grocery,Produce,Fresh Fruit
Steel Cut Oats,5.49,Grocery,Breakfast & Cereal,Hot Cereal
Fresh Mozzarella Cheese,6.99,Grocery,Dairy & Alternatives,Cheese
Organic Blueberries,5.99,Grocery,Produce,Fresh Fruit
Peanut Butter Natural,6.99,Grocery,Pantry,Nut Butters & Spreads
Whole Grain Cereal,4.99,Grocery,Breakfast & Cereal,Cold Cereal
Organic Strawberries,4.99,Grocery,Produce,Fresh Fruit
Sea Salt Fine,2.99,Grocery,Pantry,Spices & Seasonings
Raw Honey Wildflower,8.99,Grocery,Pantry,Sweeteners
Organic Carrots,2.99,Grocery,Produce,Fresh Vegetables
Basmati Rice Premium,6.49,Grocery,Pantry,Grains & Rice
Fresh Atlantic Cod,13.99,Grocery,Seafood,Fish
Organic Bell Peppers,4.49,Grocery,Produce,Fresh Vegetables
Almond Butter Smooth,9.99,Grocery,Pantry,Nut Butters & Spreads
Sparkling Water Lemon,1.99,Grocery,Beverages,Water & Hydration
Organic Apples Gala,3.99,Grocery,Produce,Fresh Fruit
Black Beans Organic,3.49,Grocery,Pantry,Canned & Jarred
Coconut Oil Virgin,11.99,Grocery,Pantry,Oils & Vinegars
Fresh Broccoli Crowns,3.99,Grocery,Produce,Fresh Vegetables
Himalayan Pink Salt,4.99,Grocery,Pantry,Spices & Seasonings
Organic Cucumbers,2.99,Grocery,Produce,Fresh Vegetables
Premium Tea Bags,7.99,Grocery,Beverages,Coffee & Tea
Free Range Turkey Breast,9.99,Grocery,Meat & Poultry,Turkey
Organic Sweet Potatoes,3.49,Grocery,Produce,Fresh Vegetables
Cashew Milk Vanilla,4.99,Grocery,Dairy & Alternatives,Plant-Based Milk
Organic Kale Leaves,3.99,Grocery,Produce,Leafy Greens
Artisan Crackers,5.49,Grocery,Snacks & Candy,Crackers & Chips
Wild Rice Blend,8.99,Grocery,Pantry,Grains & Rice
Organic Zucchini,2.99,Grocery,Produce,Fresh Vegetables
Premium Vanilla Extract,12.99,Grocery,Pantry,Baking
Free Range Chicken Thighs,6.99,Grocery,Meat & Poultry,Chicken
Organic Lemons,3.49,Grocery,Produce,Fresh Fruit
Chia Seeds Organic,9.99,Grocery,Pantry,Seeds & Nuts
Fresh Asparagus Spears,5.99,Grocery,Produce,Fresh Fruit
Organic Mushrooms Mixed,4.99,Grocery,Produce,Fresh Vegetables
Coconut Flakes Unsweetened,5.99,Grocery,Pantry,Baking
Premium Balsamic Vinegar,13.99,Grocery,Pantry,Oils & Vinegars
Organic Grape Tomatoes,4.49,Grocery,Produce,Fresh Fruit
Grass Fed Butter,6.99,Grocery,Dairy & Alternatives,Butter & Margarine
Quinoa Flour Organic,8.99,Grocery,Pantry,Baking
Fresh Green Beans,3.99,Grocery,Produce,Fresh Vegetables
Organic Onions Yellow,2.49,Grocery,Produce,Fresh Vegetables
Maple Syrup Pure,14.99,Grocery,Pantry,Sweeteners
Free Range Duck Breast,19.99,Grocery,Meat & Poultry,Duck
Organic Celery Stalks,2.99,Grocery,Produce,Fresh Vegetables
Almond Flour Blanched,12.99,Grocery,Pantry,Baking
Sparkling Water Lime,1.99,Grocery,Beverages,Water & Hydration
Organic Potatoes Russet,3.49,Grocery,Produce,Fresh Vegetables
Lentils Red Organic,4.99,Grocery,Pantry,Beans & Legumes
Coconut Milk Canned,3.99,Grocery,Dairy & Alternatives,Plant-Based Milk
Fresh Cauliflower Head,4.49,Grocery,Produce,Fresh Vegetables
Organic Garlic Bulbs,3.99,Grocery,Pantry,Spices & Seasonings
Premium Spice Blend,8.99,Grocery,Pantry,Spices & Seasonings
Wild Mushrooms Fresh,7.99,Grocery,Produce,Fresh Vegetables
Organic Beets Fresh,3.49,Grocery,Produce,Fresh Vegetables
Tahini Sesame Seed,9.99,Grocery,Pantry,Nut Butters & Spreads
Fresh Brussels Sprouts,4.99,Grocery,Produce,Fresh Vegetables
Organic Romaine Lettuce,3.49,Grocery,Produce,Leafy Greens
Coconut Sugar Raw,6.99,Grocery,Pantry,Baking
Premium Truffle Oil,24.99,Grocery,Pantry,Oils & Vinegars
Free Range Pork Tenderloin,12.99,Grocery,Meat & Poultry,Pork
Organic Radishes,2.99,Grocery,Produce,Fresh Vegetables
Flax Seeds Ground,7.99,Grocery,Pantry,Seeds & Nuts
Fresh Artichoke Hearts,5.99,Grocery,Produce,Fresh Vegetables
Organic Cabbage Green,2.99,Grocery,Produce,Leafy Greens
Raw Cacao Powder,11.99,Grocery,Pantry,Baking
Premium Fish Sauce,9.99,Grocery,Seafood,Fish
Organic Parsley Fresh,2.49,Grocery,Produce,Fresh Herbs
Hemp Seeds Hulled,13.99,Grocery,Pantry,Seeds & Nuts
Fresh Corn Sweet,3.99,Grocery,Produce,Fresh Vegetables
Organic Cilantro Fresh,2.49,Grocery,Produce,Fresh Herbs
Miso Paste White,8.99,Grocery,Pantry,Sauces & Condiments
Premium Saffron Threads,49.99,Grocery,Pantry,Spices & Seasonings
Free Range Lamb Chops,22.99,Grocery,Meat & Poultry,Lamb
Organic Mint Fresh,2.49,Grocery,Produce,Fresh Herbs
Nutritional Yeast Flakes,9.99,Grocery,Pantry,Baking
Fresh Pineapple Chunks,4.99,Grocery,Produce,Fresh Fruit
Organic Basil Fresh,2.99,Grocery,Produce,Fresh Herbs
Kombucha Ginger,4.99,Grocery,Pantry,Spices & Seasonings
Premium Aged Cheese,16.99,Grocery,Dairy & Alternatives,Cheese
Organic Dill Fresh,2.49,Grocery,Produce,Fresh Herbs
Apple Cider Vinegar Raw,7.99,Grocery,Pantry,Oils & Vinegars
Fresh Mango Sliced,5.99,Grocery,Produce,Fresh Fruit
Organic Thyme Fresh,2.99,Grocery,Produce,Fresh Herbs
Bone Broth Chicken,9.99,Grocery,Meat & Poultry,Chicken
Premium Smoked Salmon,24.99,Grocery,Seafood,Fish
Organic Oregano Fresh,2.49,Grocery,Produce,Fresh Herbs
Sprouted Grain Bread,5.99,Grocery,Bakery,Bread & Rolls
Fresh Papaya Chunks,4.99,Grocery,Produce,Fresh Fruit
Organic Rosemary Fresh,2.99,Grocery,Produce,Fresh Herbs
Kelp Noodles Raw,6.99,Grocery,Pantry,Pasta & Noodles
Premium Caviar,89.99,Grocery,Seafood,Caviar & Roe
Organic Sage Fresh,2.49,Grocery,Produce,Fresh Herbs
Fermented Vegetables,7.99,Grocery,Pantry,Canned & Jarred
Fresh Kiwi Fruit,3.99,Grocery,Produce,Fresh Fruit
Organic Tarragon Fresh,3.49,Grocery,Produce,Fresh Herbs
Probiotic Yogurt,6.99,Grocery,Dairy & Alternatives,Yogurt
Premium Wagyu Beef,49.99,Grocery,Meat & Poultry,Beef
Organic Chives Fresh,2.99,Grocery,Produce,Fresh Herbs
Spirulina Powder,19.99,Grocery,Pantry,Health & Supplements
Fresh Dragon Fruit,7.99,Grocery,Produce,Fresh Fruit
Organic Bay Leaves,4.49,Grocery,Pantry,Spices & Seasonings
Matcha Green Tea,29.99,Grocery,Beverages,Coffee & Tea
Premium Lobster Tail,34.99,Grocery,Seafood,Fish
Organic Marjoram Fresh,3.49,Grocery,Produce,Fresh Herbs
Goji Berries Dried,14.99,Grocery,Pantry,Dried Fruit
Fresh Star Fruit,5.99,Grocery,Produce,Fresh Fruit
Organic Cumin Seeds,5.49,Grocery,Pantry,Seeds & Nuts
Chlorella Tablets,24.99,Grocery,Pantry,Health & Supplements
Premium Oysters Fresh,19.99,Grocery,Seafood,Shellfish
Organic Fennel Bulb,4.99,Grocery,Produce,Fresh Vegetables
Acai Berry Powder,19.99,Grocery,Pantry,Health & Supplements
Fresh Passion Fruit,6.99,Grocery,Produce,Fresh Fruit
Organic Coriander Seeds,4.99,Grocery,Pantry,Seeds & Nuts
Wheatgrass Powder,16.99,Grocery,Pantry,Health & Supplements
Premium Scallops Sea,29.99,Grocery,Seafood,Shellfish
Organic Cardamom Pods,12.99,Grocery,Pantry,Spices & Seasonings
